商品标题,商品价格,商品信息
AOCU2790PQU,1899.00,|['商品编号：100001071956', '商品毛重：8.3kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：3840*2160dpi', '对比度：1000:1', '响应时间：5ms', '屏幕刷新率：60Hz', '售后服务：3年质保', '面板：IPS技术', '接口：DP，HDMI，USB扩展/充电，音频/耳机输出', '特性：旋转升降底座', '屏幕比例：16:9']|
KKTVK24QH,699.00,|['商品编号：100012087835', '商品毛重：3.42kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '屏幕刷新率：75Hz', '分辨率：其他', '售后服务：1年质保', '面板：其他', '接口：HDMI，VGA']|
AOC22B2HN,769.00,|['商品编号：100021592292', '商品毛重：3.35kg', '商品产地：中国大陆', '屏幕尺寸：21.5英寸及以下', '分辨率：1920*1080dpi', '对比度：3000:1', '屏幕刷新率：75Hz', '售后服务：3年质保', '面板：VA', '接口：HDMI，VGA，音频/耳机输出', '特性：节能认证，TUV爱眼认证', '屏幕比例：16:9']|
AOCQ2790PQ,1549.00,|['商品编号：6241719', '商品毛重：8.24kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：2560*1440dpi', '对比度：1000:1', '响应时间：5ms', '屏幕刷新率：60Hz', '售后服务：3年质保', '面板：IPS技术', '接口：DP，HDMI，VGA，音频/耳机输出', '特性：旋转升降底座', '屏幕比例：16:9']|
三星S32AM700PC,1799.00,|['商品编号：100015023791', '商品毛重：8.23kg', '商品产地：中国大陆', '屏幕尺寸：31.5-32英寸', 'HDR：HDR10', '分辨率：3840*2160dpi', '对比度：3000:1', '屏幕刷新率：60Hz', '售后服务：1年质保', '面板：VA', '接口：Type-C，HDMI', '特性：无线投屏', '屏幕比例：16:9']|
HKCT3252U,1299.00,|['商品编号：100025671272', '商品毛重：8.2kg', '商品产地：中国大陆', '屏幕尺寸：31.5-32英寸', '屏幕刷新率：60Hz', '分辨率：3840*2160dpi', '售后服务：3年质保', '面板：VA', '对比度：3000:1', '屏幕比例：16:9', '接口：DP，HDMI，音频/耳机输出']|
戴尔S2721DGF,2499.00,|['商品编号：100014522238', '商品毛重：9.75kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', 'HDR：HDR400', '分辨率：2560*1440dpi', '对比度：1000:1', '响应时间：1ms', '屏幕刷新率：165Hz', '售后服务：3年质保', '面板：IPS (Fast)', '接口：DP，HDMI，USB扩展/充电，音频/耳机输出', '特性：节能认证，旋转升降底座，FreeSync，TUV爱眼认证', '屏幕比例：16:9']|
KKTVK24QDJ,869.00,|['商品编号：100014058189', '商品毛重：3.46kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '屏幕刷新率：144Hz', '分辨率：其他', '售后服务：1年质保', '面板：其他', '接口：DP，HDMI']|
三星S27R350FHC,1099.00,|['商品编号：100010935292', '商品毛重：5.28kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '屏幕刷新率：75Hz', '售后服务：1年质保', '面板：IPS技术', '接口：HDMI，VGA', '特性：FreeSync', '屏幕比例：16:9']|
AOCI2490VXH/BS,879.00,|['商品编号：5155905', '商品毛重：4.85kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '类型：商用大屏显示器', '响应时间：5ms', '屏幕刷新率：60Hz', '售后服务：3年质保', '面板：IPS（LGD）', '接口：HDMI，VGA，音频/耳机输出', '特性：节能认证，可壁挂', '屏幕比例：16:9']|
雷神TR-C27H144,1099.00,|['商品编号：7224931', '商品毛重：6.35kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：1920*1080dpi', '响应时间：2ms-4ms', '屏幕刷新率：144Hz', '售后服务：3年质保', '面板：VA', '接口：DP，HDMI，DVI，音频/耳机输出', '屏幕比例：16:9', '曲率：1800R']|
三星S24R352F,929.00,|['商品编号：100007193438', '商品毛重：4.86kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '屏幕刷新率：75Hz', '售后服务：1年质保', '面板：IPS技术', '接口：HDMI，VGA', '特性：FreeSync', '屏幕比例：16:9']|
小米小米显示器 27英寸 165Hz版,1799.00,|['商品编号：100013829958', '商品毛重：9.0kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', 'HDR：HDR400', '分辨率：2560*1440dpi', '对比度：1000:1', '响应时间：1ms', '屏幕刷新率：165Hz', '售后服务：3年质保', '面板：IPS技术', '接口：DP，HDMI，USB扩展/充电，音频/耳机输出', '特性：旋转升降底座，TUV爱眼认证', '屏幕比例：16:9']|
联想（Lenovo）D系列,899.00,|['商品编号：10037250379627', '商品毛重：4.15kg', '屏幕尺寸：21.5英寸及以下', '分辨率：1920*1080dpi', '售后服务：1年质保', '面板：VA', '屏幕比例：16:9', '接口：HDMI，VGA']|
AOC24G2,1299.00,|['商品编号：100004239411', '商品毛重：5.86kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '响应时间：1ms', '屏幕刷新率：144Hz', '售后服务：3年质保', '面板：IPS技术', '接口：DP，HDMI，VGA，音频/耳机输出', '特性：旋转升降底座', '屏幕比例：16:9']|
KKTVK22Y,529.00,|['商品编号：100012280513', '商品毛重：3.08kg', '商品产地：中国大陆', '屏幕尺寸：21.5英寸及以下', '屏幕刷新率：75Hz', '分辨率：其他', '售后服务：1年质保', '面板：其他', '接口：VGA，其他']|
泰坦军团P24A2G,1049.00,|['商品编号：100013772695', '商品毛重：5.55kg', '商品产地：中国大陆', '货号：P24A2G', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '响应时间：1ms', '屏幕刷新率：165Hz', '售后服务：3年质保', '面板：IPS (Fast)', '接口：DP，HDMI，音频/耳机输出', '特性：四边微边框', '屏幕比例：16:9']|
三星F24T350FHC,899.00,|['商品编号：100015189598', '商品毛重：4.05kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '响应时间：5ms', '屏幕刷新率：75Hz', '售后服务：1年质保', '面板：IPS技术', '接口：HDMI，VGA', '特性：FreeSync，可壁挂', '屏幕比例：16:9']|
KKTVK20Z,429.00,|['商品编号：100016676992', '商品毛重：3.4kg', '商品产地：中国大陆', '屏幕尺寸：21.5英寸及以下', '屏幕刷新率：60Hz', '分辨率：其他', '售后服务：1年质保', '面板：其他', '接口：其他']|
