,订单号,订单行,销售时间,交货时间,货品交货状况,货品,货品用户反馈,销售区域,数量,销售金额
37,P123073,10,2016/8/31,2016/10/31,按时交货,货品6,质量合格,马来西亚,4.0,"7,69元"
38,P123092,10,2016/10/1,2016/11/30,按时交货,货品5,质量合格,泰国,7.0,"104,90元"
39,P123140,10,2016/8/31,2016/10/31,按时交货,货品5,质量合格,泰国,1.0,"158,30元"
40,P123314,10,2016/10/1,2016/11/30,按时交货,货品6,质量合格,马来西亚,1.0,"7,50元"
41,P123487,10,2016/8/15,2016/11/15,按时交货,货品6,质量合格,马来西亚,1.0,"200,25元"
42,P123511,10,2016/12/10,2017/3/10,晚交货,货品2,拒货,华东,1.0,"6984,25元"
43,P114322,10,2016/11/22,2017/2/22,晚交货,货品2,拒货,马来西亚,1.0,"200,61元"
44,P116102,10,2016/8/30,2016/10/30,按时交货,货品6,质量合格,马来西亚,1.0,"92,00元"
45,P117997,10,2016/8/25,2016/10/25,晚交货,货品2,拒货,马来西亚,1500.0,"4419,19元"
46,P121154,10,2016/7/30,2016/9/30,按时交货,货品3,质量合格,华北,1.0,"32,70元"
47,P122051,10,2016/7/15,2016/10/15,按时交货,货品6,质量合格,马来西亚,,"42,76元"
48,P122441,10,2016/8/31,2016/10/31,,货品5,拒货,泰国,1.0,"348,74元"
49,P122603,10,2016/8/31,2016/10/31, 按时交货,货品6,质量合格,马来西亚,1.0,"36,71元"
50,P122660,10,2016/8/31,2016/10/31, 晚交货,货品2,返修,马来西亚,1.0,"152,59元"
51,P122837,10,2016/8/31,2016/10/31, 按时交货,货品4,返修,西北,1.0,"399,94元"
52,P123073,10,2016/8/31,2016/10/31, 按时交货,货品6,质量合格,马来西亚,4.0,"7,69元"
53,P123092,10,2016/10/1,2016/11/30, 按时交货,货品5,质量合格,泰国,7.0,"104,90元"
54,P123140,10,2016/8/31,2016/10/31, 按时交货,货品5,质量合格,泰国,1.0,"158,30元"
55,P123314,10,2016/10/1,2016/11/30, 按时交货,货品6,质量合格,马来西亚,1.0,"7,50元"
56,P123487,10,2016/8/15,2016/11/15, 按时交货,货品6,质量合格,马来西亚,1.0,"200,25元"
57,P123511,10,2016/12/10,2017/3/10, 晚交货,货品2,拒货,华东,1.0,"6984,25元"
58,P123511,10,2016/10/8,2017/1/8, 晚交货,货品2,拒货,华东,1.0,"6984,25元"
59,P123639,10,2016/8/15,2016/11/15,,货品6,质量合格,马来西亚,2.0,"15,51元"
60,P123703,10,2016/8/15,2016/11/15, 按时交货,货品6,质量合格,马来西亚,5.0,"7,09元"
61,P124553,10,2016/8/24,2016/11/24, 按时交货,货品6,质量合格,马来西亚,1.0,"15,46元"
62,P124855,10,2016/12/1,2017/1/31, 按时交货,货品6,质量合格,马来西亚,1.0,"22,59元"
63,P124940,10,2016/9/15,2016/12/15, 按时交货,货品5,质量合格,泰国,1.0,"205,42元"
64,P125296,10,2016/9/15,2016/12/15, 按时交货,货品6,质量合格,马来西亚,2.0,"31,24元"
65,P125385,10,2016/10/15,2017/1/15, 按时交货,货品6,质量合格,马来西亚,1.0,"44,91元"
66,P125534,10,2016/10/15,2017/1/15, 按时交货,货品5,返修,泰国,1.0,"127,29元"
67,P125535,10,2016/9/15,2016/12/15, 按时交货,货品5,返修,泰国,1.0,"109,75元"
68,P126485,10,2016/10/30,2016/12/30, 按时交货,货品5,拒货,泰国,1.0,"303,29元"
69,P126486,10,2016/10/30,2016/12/30, 按时交货,货品5,质量合格,泰国,1.0,"142,36元"
70,P126487,10,2016/10/30,2016/12/30, 按时交货,货品6,质量合格,马来西亚,1.0,"8,45元"
71,P126788,10,2016/12/30,2017/2/28, 晚交货,货品1,拒货,华南,1.0,"4485,39元"
72,P127037,10,2016/10/30,2016/12/30, 按时交货,货品4,质量合格,西北,1.0,"440,01元"
73,P127069,10,2016/10/30,2016/12/30, 晚交货,货品2,拒货,华东,1.0,"102,66元"
74,P127202,10,2016/10/15,2017/1/15, 按时交货,货品5,质量合格,泰国,1.0,"283,02元"
75,P128120,10,2016/12/1,2017/1/31, 按时交货,货品6,返修,马来西亚,1.0,"24,98元"
76,P128238,20,2016/7/30,2016/9/30, 晚交货,货品2,拒货,华东,1.0,"458,29元"
77,P128387,10,2016/11/30,2017/1/30, 按时交货,货品5,质量合格,泰国,1.0,"365,39元"
78,P128643,10,2016/12/1,2017/1/31, 按时交货,货品6,返修,马来西亚,1.0,"90,84元"
79,P129172,10,2016/8/29,2016/10/29, 晚交货,货品2,返修,华东,2.0,"13733,72元"
80,P129639,10,2016/11/15,2017/2/15, 按时交货,货品6,质量合格,马来西亚,1.0,"18,65元"
81,P129929,10,2016/12/30,2017/2/28, 按时交货,货品6,返修,马来西亚,1.0,"26,25元"
82,P129930,10,2016/12/30,2017/2/28, 按时交货,货品6,质量合格,马来西亚,1.0,"24,43元"
83,P130559,10,2016/12/30,2017/2/28, 按时交货,货品6,质量合格,马来西亚,1.0,"13,09元"
84,P132063,10,2016/7/30,2016/9/30, 按时交货,货品3,拒货,华北,2.0,"153,62元"
85,P132063,20,2016/7/30,2016/9/30, 按时交货,货品3,拒货,华北,2.0,"155,07元"
86,P132964,10,2016/11/16,2017/2/16, 晚交货,货品2,拒货,华东,1.0,"3599,76元"
87,P135728,10,2016/8/30,2016/10/30, 按时交货,货品3,质量合格,华北,4.0,"62,96元"
88,P135728,20,2016/8/30,2016/10/30, 按时交货,货品6,质量合格,马来西亚,4.0,"34,89元"
89,P135735,10,2016/11/30,2017/1/30, 按时交货,货品3,质量合格,华北,4.0,"62,96元"
90,P135735,20,2016/11/30,2017/1/30, 按时交货,货品6,质量合格,马来西亚,4.0,"34,89元"
91,P135737,10,2016/8/30,2016/10/30, 按时交货,货品3,质量合格,华北,4.0,"62,96元"
92,P135737,20,2016/8/30,2016/10/30, 按时交货,货品6,返修,马来西亚,4.0,"34,89元"
93,P135951,10,2016/9/25,2016/11/25, 按时交货,货品1,质量合格,西北,1.0,"90000,46元"
94,P135951,20,2016/9/25,2016/11/25, 按时交货,货品1,质量合格,华南,1.0,"92595,22元"
95,P137613,10,2016/8/31,2016/10/31, 按时交货,货品3,质量合格,华北,1.0,"75,32元"
96,P137613,20,2016/8/31,2016/10/31, 按时交货,货品3,质量合格,华北,1.0,"47,58元"
97,P138559,10,2016/8/30,2016/10/30, 按时交货,货品1,质量合格,华北,1.0,"13712,80元"
98,P144800,10,2016/8/16,2016/11/16, 晚交货,货品3,拒货,华北,1.0,"1367,02元"
99,P144841,10,2016/8/24,2016/11/24, 按时交货,货品5,质量合格,泰国,1.0,"329,98元"
